"Item no.","EAN","HS Code","Description","Description 2","Launched","Colour","Surface","Base Surface","Materials","Length mm","Width mm","Height mm","Dia. mm.","Weight","Qty. pr. box","Category","Item status","Country of origin","AT RRP incl. VAT (EUR)","AT RRP excl. VAT (EUR)","BE RRP incl. VAT (EUR)","BE RRP excl. VAT (EUR)","CH RRP incl. VAT (CHF)","CH RRP excl. VAT (CHF)","CH Trade price in EUR excl. VAT","DE RRP incl. VAT (EUR)","DE RRP excl. VAT (EUR)","DK RRP incl. VAT (DKK)","DK RRP excl. VAT (DKK)","EE RRP incl. VAT (EUR)","EE RRP excl. VAT (EUR)","ES RRP incl. VAT (EUR)","ES RRP excl. VAT (EUR)","EXW RRP in EUR","FI RRP incl. VAT (EUR)","FI RRP excl. VAT (EUR)","FR RRP incl. VAT (EUR)","FR RRP excl. VAT (EUR)","HR RRP incl. VAT (EUR)","HR RRP excl. VAT (EUR)","IE RRP incl. VAT (EUR)","IE RRP excl. VAT (EUR)","IT RRP incl. VAT (EUR)","IT RRP excl. VAT (EUR)","LT RRP incl. VAT (EUR)","LT RRP excl. VAT (EUR)","LV RRP incl. VAT (EUR)","LV RRP excl. VAT (EUR)","NL RRP incl. VAT (EUR)","NL RRP excl. VAT (EUR)","NO RRP incl. VAT (NOK)","NO RRP excl. VAT (NOK)","NO Trade price in DKK excl. VAT","PL RRP incl. VAT (PLN)","PL RRP excl. VAT (PLN)","PL Trade Price in EUR excl. VAT","PT RRP incl. VAT (EUR)","PT RRP excl. VAT (EUR)","SE RRP incl. VAT (SEK)","SE RRP excl. VAT (SEK)","SE RRP excl. VAT (DKK)","SI RRP incl. VAT (EUR)","SI RRP excl. VAT (EUR)","SK RRP incl. VAT (EUR)","SK RRP excl. VAT (EUR)","UK RRP incl. VAT (GBP)","UK RRP excl. VAT (GBP)","UK List price in EUR excl. VAT","MSRP IN USD","Packshot 1","Packshot 2","Packshot 3","Packshot 4","Packshot 5","Lifestyle 1","Lifestyle 2","Lifestyle 3","Lifestyle 4","Lifestyle 5","Fragile","Small Parcel","Stackability","Certifications","Felt Glides incl.","Fittings incl.","Max recommended weight (kg)","Size, colour or structure may vary","Adjustable feet","Leg heights (mm)","Table top attached","Seatings","Seat depth (mm)","Connectors incl.","Cushions incl.","FR foam available","Crib 5 available","Holes for cables","Shelves incl.","Adjustable shelves","Dimensions between shelves (mm)","Care guide","Assembly required","Assembly instruction","Flatpacked","Box Info","Box 1 Height","Box 1 Length","Box 1 Width","Box 1 Weight","Box 2 Height","Box 2 Length","Box 2 Width","Box 2 Weight","Box 3 Height","Box 3 Length","Box 3 Width","Box 3 Weight","Box 4 Height","Box 4 Length","Box 4 Width","Box 4 Weight","Designer","Designer Bio","Product Text","Lamp shade diameter (mm)","Lamp shade height (mm)","Lamp shade material","Bulb incl.","Bulb base","Bulb type","No. of light sources","Cable incl.","Battery driven","UN Number","Battery incl.","Portable","Cord length (mm)","Cord material","Dimmable","Dimmable incl.","LED","LED lifetime (hours)","Kelvin","Lumen","Wattage","Voltage","Ceiling rose incl.","Seat Width","Quickship","Quickship US","Cable Colour","FSC","Customers Own Material","Seat Depth"
"160062","5712800030822","5703100000","Tact rug","Anthracite grey (200 x 300 cm)","2020","Anthracite grey","Woven","Textured","90% New Zealand wool, 10% cotton","3000","2000","15","","16,50","1","Rugs","ACTIVE","IN","999,00","832,50","999,00","825,62","929,00","860,19","865,00","999,00","839,50","7579,00","6063,20","999,00","825,62","999,00","999,00","979,00","999,00","805,65","999,00","832,50","999,00","799,20","999,00","812,20","999,00","825,62","999,00","825,62","999,00","825,62","999,00","825,62","12479,00","9983,20","6489,00","4459,00","3625,20","827,00","999,00","812,20","11779,00","9423,20","6125,00","999,00","818,85","999,00","818,85","1239,00","1032,50","1206,00","1149,00","https://presscloud.com/file/76/760024240573382/WOUD_Tact_rug_Anthracite_grey_1_exposed.jpg","https://presscloud.com/file/89/897886251167510/WOUD_Tact_rug_Anthracite_grey_2_exposed.jpg","https://presscloud.com/file/84/844214128401705/WOUD_Tact_rug_Anthracite_3.jpg","","","https://presscloud.com/file/13/136445346668222/WOUD_AW23_Tact_Bricks_04.jpg","https://presscloud.com/file/59/590992878272437/WOUD_AW23_Tact_02.jpg","","","NA","Yes","No","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""250"",""Box_1_Width_mm"":""250"",""Box_1_Length_mm"":""2020"",""Box_1_Weight_Kg"":""18,00""}","250","2020","250","18,00","","","","","","","","","","","","","","","Our hand-woven Tact rug has a distinctive yet simplistic appearance. Characterised by the small circular droplets that provide a tactile surface. The woven loops combined with the dyed base constitute a modern structure and provide a sensuous tread. With its rectangular shape, the contemporary rug defines and delimits a zone from the rest of the space. Made from natural materials, slight variations in colour may occur. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","","",""
"160063","5712800030839","5703100000","Tact rug","Brown (200 x 300 cm)","2020","Brown","Woven","Textured","90% New Zealand wool, 10% cotton","3000","2000","15","","16,50","1","Rugs","ACTIVE","IN","999,00","832,50","999,00","825,62","929,00","860,19","865,00","999,00","839,50","7579,00","6063,20","999,00","825,62","999,00","999,00","979,00","999,00","805,65","999,00","832,50","999,00","799,20","999,00","812,20","999,00","825,62","999,00","825,62","999,00","825,62","999,00","825,62","12479,00","9983,20","6489,00","4459,00","3625,20","827,00","999,00","812,20","11779,00","9423,20","6125,00","999,00","818,85","999,00","818,85","1239,00","1032,50","1206,00","1149,00","https://presscloud.com/file/34/345497551639663/WOUD_Tact_rug_Brown_1_exposed.jpg","https://presscloud.com/file/99/998307991318159/WOUD_Tact_rug_Brown_2_exposed.jpg","https://presscloud.com/file/62/620457505929618/WOUD_Tact_rug_Brown_3.jpg","","","https://presscloud.com/file/61/613953062999999/WOUD_AW23_Tact_Bricks_03.jpg","https://presscloud.com/file/83/838314686375932/WOUD_AW23_Tact_.jpg","NA","","NA","Yes","No","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""250"",""Box_1_Width_mm"":""250"",""Box_1_Length_mm"":""2020"",""Box_1_Weight_Kg"":""18,00""}","250","2020","250","18,00","","","","","","","","","","","","","","","Our hand-woven Tact rug has a distinctive yet simplistic appearance. Characterised by the small circular droplets that provide a tactile surface. The woven loops combined with the dyed base constitute a modern structure and provide a sensuous tread. With its rectangular shape, the contemporary rug defines and delimits a zone from the rest of the space. Made from natural materials, slight variations in colour may occur. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","","",""
"160070","5712800021318","5703100000","Rombo rug","Grey (75 x 200 cm)","2019","Grey","Woven","Textured","65% New Zealand wool, 35% jute ","2000","750","9","","4,20","1","Rugs","ACTIVE","IN","209,00","174,17","209,00","172,73","189,00","175,00","176,00","209,00","175,63","1549,00","1239,20","209,00","172,73","209,00","209,00","199,00","209,00","168,55","209,00","174,17","209,00","167,20","209,00","169,92","209,00","172,73","209,00","172,73","209,00","172,73","209,00","172,73","2549,00","2039,20","1325,00","919,00","747,15","170,00","209,00","169,92","2449,00","1959,20","1273,00","209,00","171,31","209,00","171,31","259,00","215,83","252,00","319,00","https://presscloud.com/file/83/836761566858521/160070_Rombo_runner_1_exposed.jpg","https://presscloud.com/file/80/807936100016845/160070_Rombo_runner_2_exposed.jpg","https://presscloud.com/file/35/353330968836546/160080_Rombo_large_3.jpg","","","NA","NA","NA","","NA","Yes","No","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""160"",""Box_1_Width_mm"":""160"",""Box_1_Length_mm"":""750"",""Box_1_Weight_Kg"":""5,20""}","160","750","160","5,20","","","","","","","","","","","","","Studio MLR","A Danish multidisciplinary design studio with textiles, colours and trends as their area of expertise. The designer behind the studio, Marie -Louise Rosholm, has for the past thirty years run her own studio first in Milano and now Copenhagen. With a meticulousness and profound textile knowledge, the studio develops collections and designs rooted in Scandinavian culture, design-language and colour-view.","Rombo is a series of rugs designed by Studio MLR. Characterised by the materials used in the rugs. The combination of wool and jute creates a robust surface. The woven construction forms small, distinctive rhombi patterns, which the series is named after. At either end of the rug, straight lines encase the rug creating an elegant contrast between the colours and patterns. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","","",""
"160071","5712800021325","5703100000","Rombo rug","Moss green (75 x 200 cm)","2019","Moss","Woven","Textured","65% New Zealand wool, 35% jute ","2000","750","9","","4,20","1","Rugs","ACTIVE","IN","209,00","174,17","209,00","172,73","189,00","175,00","176,00","209,00","175,63","1549,00","1239,20","209,00","172,73","209,00","209,00","199,00","209,00","168,55","209,00","174,17","209,00","167,20","209,00","169,92","209,00","172,73","209,00","172,73","209,00","172,73","209,00","172,73","2549,00","2039,20","1325,00","919,00","747,15","170,00","209,00","169,92","2449,00","1959,20","1273,00","209,00","171,31","209,00","171,31","259,00","215,83","252,00","319,00","https://presscloud.com/file/76/766693569766912/160071_Rombo_runner_1_exposed.jpg","https://presscloud.com/file/99/996974533141375/160071_Rombo_runner_2_exposed.jpg","https://presscloud.com/file/18/184648225258508/160076_Rombo_small_3.jpg","","","https://presscloud.com/file/57/577503251908679/WOUD_SS22_ANNULAR_PIDESTALL_LOOP_ROMBO.jpg","https://presscloud.com/file/12/123999770694406/WOUD_SS22_LEAN_ROMBO_ELEVATE.jpg","NA","","NA","Yes","No","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""160"",""Box_1_Width_mm"":""160"",""Box_1_Length_mm"":""750"",""Box_1_Weight_Kg"":""5,20""}","160","750","160","5,20","","","","","","","","","","","","","Studio MLR","A Danish multidisciplinary design studio with textiles, colours and trends as their area of expertise. The designer behind the studio, Marie -Louise Rosholm, has for the past thirty years run her own studio first in Milano and now Copenhagen. With a meticulousness and profound textile knowledge, the studio develops collections and designs rooted in Scandinavian culture, design-language and colour-view.","Rombo is a series of rugs designed by Studio MLR. Characterised by the materials used in the rugs. The combination of wool and jute creates a robust surface. The woven construction forms small, distinctive rhombi patterns, which the series is named after. At either end of the rug, straight lines encase the rug creating an elegant contrast between the colours and patterns. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","","",""
"160075","5712800021349","5703100000","Rombo rug ","Grey (90 x 140 cm)","2019","Grey","Woven","Textured","65% New Zealand wool, 35% jute ","1400","900","9","","3,40","1","Rugs","ACTIVE","IN","179,00","149,17","179,00","147,93","159,00","147,22","148,00","179,00","150,42","1329,00","1063,20","179,00","147,93","179,00","179,00","179,00","179,00","144,35","179,00","149,17","179,00","143,20","179,00","145,53","179,00","147,93","179,00","147,93","179,00","147,93","179,00","147,93","2299,00","1839,20","1195,00","789,00","641,46","146,00","179,00","145,53","1999,00","1599,20","1039,00","179,00","146,72","179,00","146,72","229,00","190,83","223,00","299,00","https://presscloud.com/file/16/164161912359201/160075_Rombo_small_1_exposed.jpg","https://presscloud.com/file/38/381782032959779/160075_Rombo_small_2_exposed.jpg","https://presscloud.com/file/35/353330968836546/160080_Rombo_large_3.jpg","","","NA","NA","NA","","NA","Yes","Yes","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""140"",""Box_1_Width_mm"":""140"",""Box_1_Length_mm"":""930"",""Box_1_Weight_Kg"":""3,70""}","140","930","140","3,70","","","","","","","","","","","","","Studio MLR","A Danish multidisciplinary design studio with textiles, colours and trends as their area of expertise. The designer behind the studio, Marie -Louise Rosholm, has for the past thirty years run her own studio first in Milano and now Copenhagen. With a meticulousness and profound textile knowledge, the studio develops collections and designs rooted in Scandinavian culture, design-language and colour-view.","Rombo is a series of rugs designed by Studio MLR. Characterised by the materials used in the rugs. The combination of wool and jute creates a robust surface. The woven construction forms small, distinctive rhombi patterns, which the series is named after. At either end of the rug, straight lines encase the rug creating an elegant contrast between the colours and patterns. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","","",""
"160076","5712800021356","5703100000","Rombo rug ","Moss green (90 x 140 cm)","2019","Moss","Woven","Textured","65% New Zealand wool, 35% jute ","1400","900","9","","3,40","1","Rugs","ACTIVE","IN","179,00","149,17","179,00","147,93","159,00","147,22","148,00","179,00","150,42","1329,00","1063,20","179,00","147,93","179,00","179,00","179,00","179,00","144,35","179,00","149,17","179,00","143,20","179,00","145,53","179,00","147,93","179,00","147,93","179,00","147,93","179,00","147,93","2299,00","1839,20","1195,00","789,00","641,46","146,00","179,00","145,53","1999,00","1599,20","1039,00","179,00","146,72","179,00","146,72","229,00","190,83","223,00","299,00","https://presscloud.com/file/33/332617765193318/160076_Rombo_small_1_exposed.jpg","https://presscloud.com/file/56/569588840713663/160076_Rombo_small_2_exposed.jpg","https://presscloud.com/file/18/184648225258508/160076_Rombo_small_3.jpg","","","https://presscloud.com/file/58/587811492028542/WOUD_SS19_1_Rombo_Duo_Nakki.jpg","https://presscloud.com/file/83/833971077309261/WOUD_SS19_3_Arc_Rombo.jpg","NA","","NA","Yes","Yes","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""140"",""Box_1_Width_mm"":""140"",""Box_1_Length_mm"":""930"",""Box_1_Weight_Kg"":""3,70""}","140","930","140","3,70","","","","","","","","","","","","","Studio MLR","A Danish multidisciplinary design studio with textiles, colours and trends as their area of expertise. The designer behind the studio, Marie -Louise Rosholm, has for the past thirty years run her own studio first in Milano and now Copenhagen. With a meticulousness and profound textile knowledge, the studio develops collections and designs rooted in Scandinavian culture, design-language and colour-view.","Rombo is a series of rugs designed by Studio MLR. Characterised by the materials used in the rugs. The combination of wool and jute creates a robust surface. The woven construction forms small, distinctive rhombi patterns, which the series is named after. At either end of the rug, straight lines encase the rug creating an elegant contrast between the colours and patterns. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","","",""
"160080","5712800021370","5703100000","Rombo rug ","Grey (170 x 240 cm)","2019","Grey","Woven","Textured","65% New Zealand wool, 35% jute ","2400","1700","9","","10,60","1","Rugs","ACTIVE","IN","579,00","482,50","579,00","478,51","529,00","489,81","493,00","579,00","486,55","4329,00","3463,20","579,00","478,51","579,00","579,00","569,00","579,00","466,94","579,00","482,50","579,00","463,20","579,00","470,73","579,00","478,51","579,00","478,51","579,00","478,51","579,00","478,51","7199,00","5759,20","3743,00","2549,00","2072,36","473,00","579,00","470,73","6779,00","5423,20","3525,00","579,00","474,59","579,00","474,59","709,00","590,83","690,00","709,00","https://presscloud.com/file/17/177271919826932/160080_Rombo_large_1_exposed.jpg","https://presscloud.com/file/62/628133620151530/160080_Rombo_large_2_exposed.jpg","https://presscloud.com/file/35/353330968836546/160080_Rombo_large_3.jpg","","","https://presscloud.com/file/95/959465556087348/WOUD_SS19_1_Nakki_Romb_Sentrum_Tangent.jpg","https://presscloud.com/file/80/807597119784176/WOUD_SS22_ELEVATE_CONO_LEVEL_ROMBO_ARKIV_PIDESTALL.jpg","NA","","NA","Yes","Yes","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""200"",""Box_1_Width_mm"":""200"",""Box_1_Length_mm"":""1720"",""Box_1_Weight_Kg"":""10,90""}","200","1720","200","10,90","","","","","","","","","","","","","Studio MLR","A Danish multidisciplinary design studio with textiles, colours and trends as their area of expertise. The designer behind the studio, Marie -Louise Rosholm, has for the past thirty years run her own studio first in Milano and now Copenhagen. With a meticulousness and profound textile knowledge, the studio develops collections and designs rooted in Scandinavian culture, design-language and colour-view.","Rombo is a series of rugs designed by Studio MLR. Characterised by the materials used in the rugs. The combination of wool and jute creates a robust surface. The woven construction forms small, distinctive rhombi patterns, which the series is named after. At either end of the rug, straight lines encase the rug creating an elegant contrast between the colours and patterns. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","","",""
"160081","5712800021387","5703100000","Rombo rug ","Moss green (170 x 240 cm)","2019","Moss","Woven","Textured","65% New Zealand wool, 35% jute ","2400","1700","9","","10,60","1","Rugs","ACTIVE","IN","579,00","482,50","579,00","478,51","529,00","489,81","493,00","579,00","486,55","4329,00","3463,20","579,00","478,51","579,00","579,00","569,00","579,00","466,94","579,00","482,50","579,00","463,20","579,00","470,73","579,00","478,51","579,00","478,51","579,00","478,51","579,00","478,51","7199,00","5759,20","3743,00","2549,00","2072,36","473,00","579,00","470,73","6779,00","5423,20","3525,00","579,00","474,59","579,00","474,59","709,00","590,83","690,00","709,00","https://presscloud.com/file/63/633364631554302/160081_Rombo_large_1_exposed.jpg","https://presscloud.com/file/10/103993972810449/160081_Rombo_large_2_exposed.jpg","https://presscloud.com/file/18/184648225258508/160076_Rombo_small_3.jpg","","","https://presscloud.com/file/24/246778182758251/WOUD_AW21_Arc_Rombo_1.jpg","NA","NA","","NA","Yes","Yes","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""200"",""Box_1_Width_mm"":""200"",""Box_1_Length_mm"":""1720"",""Box_1_Weight_Kg"":""10,90""}","200","1720","200","10,90","","","","","","","","","","","","","Studio MLR","A Danish multidisciplinary design studio with textiles, colours and trends as their area of expertise. The designer behind the studio, Marie -Louise Rosholm, has for the past thirty years run her own studio first in Milano and now Copenhagen. With a meticulousness and profound textile knowledge, the studio develops collections and designs rooted in Scandinavian culture, design-language and colour-view.","Rombo is a series of rugs designed by Studio MLR. Characterised by the materials used in the rugs. The combination of wool and jute creates a robust surface. The woven construction forms small, distinctive rhombi patterns, which the series is named after. At either end of the rug, straight lines encase the rug creating an elegant contrast between the colours and patterns. 
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","Yes","","","",""
"160084","5712800030846","5703100000","Kyoto rug (Round)","Grey (Ø: 200 cm)","2023","Grey","Tufted","Textured","80% New Zealand wool, 20% cotton","","","18","2000","14,50","1","Rugs","ACTIVE","IN","899,00","749,17","899,00","742,98","859,00","795,37","800,00","899,00","755,46","6849,00","5479,20","899,00","742,98","899,00","899,00","789,00","899,00","725,00","899,00","749,17","899,00","719,20","899,00","730,89","899,00","742,98","899,00","742,98","899,00","742,98","899,00","742,98","11319,00","9055,20","5886,00","4019,00","3267,48","746,00","899,00","730,89","10679,00","8543,20","5553,00","899,00","736,89","899,00","736,89","1189,00","990,83","1157,00","1089,00","https://presscloud.com/file/63/635891378984606/160084_WOUD_Kyoto_rug_00_Grey_1_Exposed.jpg","https://presscloud.com/file/84/849991318424899/160084_WOUD_Kyoto_rug_00_Grey_2_Exposed.jpg","","","","https://presscloud.com/file/53/533361836819101/WOUD_AW23_Kyoto_Bricks_02.jpg","","","","NA","Yes","Yes","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""210"",""Box_1_Width_mm"":""210"",""Box_1_Length_mm"":""2000"",""Box_1_Weight_Kg"":""15,50""}","210","2000","210","15,50","","","","","","","","","","","","","AD Miller","AD Miller is a Los Angeles based multi-disciplinary studio founded by architect and designer Adam Miller. His design philosophy is rooted in a holistic approach that encompasses the practice of designing at all scales - from architecture to lighting and furniture design. Each project is approached with the aim of creating powerful yet quiet gestures while emphasizing honesty in materiality.","The hand-tufted wool rug, Kyoto, takes its inspiration from the distinctive pattern found in traditional raked Japanese rock gardens. With its minimalistic linear cut piles, the design provides a quiet sense of movement as the engraved lines travel in straight and diagonal motions. The rug comes in different sizes and shapes, each with an individual design. Available in natural tones, Kyoto provides a complementing base for a furniture setting.
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","No","","","",""
"160085","5712800030853","5703100000","Kyoto rug (Round)","Grey (Ø: 250 cm)","2023","Grey","Tufted","Textured","80% New Zealand wool, 20% cotton","","","18","2500","24,00","1","Rugs","ACTIVE","IN","1429,00","1190,83","1429,00","1180,99","1349,00","1249,07","1256,00","1429,00","1200,84","10729,00","8583,20","1429,00","1180,99","1429,00","1429,00","1229,00","1429,00","1152,42","1429,00","1190,83","1429,00","1143,20","1429,00","1161,79","1429,00","1180,99","1429,00","1180,99","1429,00","1180,99","1429,00","1180,99","17729,00","14183,20","9219,00","6289,00","5113,01","1167,00","1429,00","1161,79","16719,00","13375,20","8694,00","1429,00","1171,31","1429,00","1171,31","1869,00","1557,50","1819,00","1639,00","https://presscloud.com/file/45/453057381682469/160085_WOUD_Kyoto_rug_50_Grey_1_Exposed.jpg","https://presscloud.com/file/89/898030404699484/160085_WOUD_Kyoto_rug_50_Grey_2_Exposed.jpg","","","","https://presscloud.com/file/53/533361836819101/WOUD_AW23_Kyoto_Bricks_02.jpg","","","","NA","Yes","Yes","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""240"",""Box_1_Width_mm"":""240"",""Box_1_Length_mm"":""2530"",""Box_1_Weight_Kg"":""23,20""}","240","2530","240","23,20","","","","","","","","","","","","","AD Miller","AD Miller is a Los Angeles based multi-disciplinary studio founded by architect and designer Adam Miller. His design philosophy is rooted in a holistic approach that encompasses the practice of designing at all scales - from architecture to lighting and furniture design. Each project is approached with the aim of creating powerful yet quiet gestures while emphasizing honesty in materiality.","The hand-tufted wool rug, Kyoto, takes its inspiration from the distinctive pattern found in traditional raked Japanese rock gardens. With its minimalistic linear cut piles, the design provides a quiet sense of movement as the engraved lines travel in straight and diagonal motions. The rug comes in different sizes and shapes, each with an individual design. Available in natural tones, Kyoto provides a complementing base for a furniture setting.
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","No","","","",""
"160086","5712800030860","5703100000","Kyoto rug (Oval)","Grey (210 x 340 cm)","2023","Grey","Tufted","Textured","80% New Zealand wool, 20% cotton","3400","2100","18","","24,00","1","Rugs","ACTIVE","IN","1619,00","1349,17","1619,00","1338,02","1529,00","1415,74","1424,00","1619,00","1360,50","12159,00","9727,20","1619,00","1338,02","1619,00","1619,00","1389,00","1619,00","1305,65","1619,00","1349,17","1619,00","1295,20","1619,00","1316,26","1619,00","1338,02","1619,00","1338,02","1619,00","1338,02","1619,00","1338,02","19999,00","15999,20","10399,00","7129,00","5795,93","1323,00","1619,00","1316,26","18949,00","15159,20","9853,00","1619,00","1327,05","1619,00","1327,05","2109,00","1757,50","2052,00","1839,00","https://presscloud.com/file/80/809087475944226/160086_WOUD_Kyoto_rug_210x340_Grey_1_Exposed.jpg","https://presscloud.com/file/13/131342506466573/160086_WOUD_Kyoto_rug_210x340_Grey_2_Exposed.jpg","","","","https://presscloud.com/file/31/313238726932357/WOUD_AW23_Kyoto_04.jpg","","","","NA","Yes","No","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""270"",""Box_1_Width_mm"":""270"",""Box_1_Length_mm"":""2100"",""Box_1_Weight_Kg"":""29,20""}","270","2100","270","29,20","","","","","","","","","","","","","AD Miller","AD Miller is a Los Angeles based multi-disciplinary studio founded by architect and designer Adam Miller. His design philosophy is rooted in a holistic approach that encompasses the practice of designing at all scales - from architecture to lighting and furniture design. Each project is approached with the aim of creating powerful yet quiet gestures while emphasizing honesty in materiality.","The hand-tufted wool rug, Kyoto, takes its inspiration from the distinctive pattern found in traditional raked Japanese rock gardens. With its minimalistic linear cut piles, the design provides a quiet sense of movement as the engraved lines travel in straight and diagonal motions. The rug comes in different sizes and shapes, each with an individual design. Available in natural tones, Kyoto provides a complementing base for a furniture setting.
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","No","","","",""
"160087","5712800030877","5703100000","Kyoto rug (Round)","Off white (Ø: 200 cm)","2023","Off White","Tufted","Textured","80% New Zealand wool, 20% cotton","","","18","2000","14,50","1","Rugs","ACTIVE","IN","859,00","715,83","859,00","709,92","819,00","758,33","763,00","859,00","721,85","6479,00","5183,20","859,00","709,92","859,00","859,00","739,00","859,00","692,74","859,00","715,83","859,00","687,20","859,00","698,37","859,00","709,92","859,00","709,92","859,00","709,92","859,00","709,92","10699,00","8559,20","5563,00","3799,00","3088,62","705,00","859,00","698,37","10119,00","8095,20","5262,00","859,00","704,10","859,00","704,10","1129,00","940,83","1099,00","1039,00","https://presscloud.com/file/26/262173342313480/160087_WOUD_Kyoto_rug_00_Off_white_1_Exposed.jpg","https://presscloud.com/file/10/106510665331666/160087_WOUD_Kyoto_rug_00_Off_white_2_Exposed.jpg","","","","https://presscloud.com/file/51/519793751799656/WOUD_AW23_Kyoto_Bricks.jpg","https://presscloud.com/file/88/885747083985553/WOUD_AW23_Ludo_Kyoto_02.jpg","https://presscloud.com/file/95/956079321964240/WOUD_SS23_AW23_Soma_Kyoto_04.jpg","","NA","Yes","Yes","","SCOPE, ISO 9001, ISO 45001","","","","Yes","","","","","","","","","","","","","","https://presscloud.com/file/91/915725680692736/WOUD_Care_and_Maintenance.pdf","","","No","{""Box_1_Height_mm"":""210"",""Box_1_Width_mm"":""210"",""Box_1_Length_mm"":""2000"",""Box_1_Weight_Kg"":""15,50""}","210","2000","210","15,50","","","","","","","","","","","","","AD Miller","AD Miller is a Los Angeles based multi-disciplinary studio founded by architect and designer Adam Miller. His design philosophy is rooted in a holistic approach that encompasses the practice of designing at all scales - from architecture to lighting and furniture design. Each project is approached with the aim of creating powerful yet quiet gestures while emphasizing honesty in materiality.","The hand-tufted wool rug, Kyoto, takes its inspiration from the distinctive pattern found in traditional raked Japanese rock gardens. With its minimalistic linear cut piles, the design provides a quiet sense of movement as the engraved lines travel in straight and diagonal motions. The rug comes in different sizes and shapes, each with an individual design. Available in natural tones, Kyoto provides a complementing base for a furniture setting.
","","","","","","","","","","","","","","","","","","","","","","","","","Yes","No","","","",""
